DOCKET,RPT_PERIOD,OUTG_SEQ,Refuel_Cycle,Outage_Date_Time,OUTG_DATE,OUTG_TYPE,OUTG_HRS,OUTG_REASN,OUTG_METH,OUTG_LER,OUTG_SYSTM,OUTG_COMP,DESCRIP,,,,,,,,,,,,,,,,,,,,,,,,,
219,200811,1F17,,,11/28/2008 00:00:00,F,50.98,A,3,,,,"REACTOR SCRAM LOAD REJECT DUE TO FAILURE OF M1A TRANSFORMER. ENTERED ABN-01, AND 10 EOP RPV CONTROL WITH OUT ATWOS.",,,,,,,,,,,,,,,,,,,,,,,,,
219,200812,1F17,,,11/28/2008 00:00:00,F,126.7,A,4,,,,"REACTOR SCRAM LOAD REJECT DUE TO FAILURE OF M1A TRANSFORMER.  ENTERED ABN-01, AND 10 EOP RPV CONTROL WITH OUT ATWOS.",,,,,,,,,,,,,,,,,,,,,,,,,
219,200902,1F18,,,02/01/2009 00:00:00,F,75.33,A,3,,,,M1A TRANSFORMER FAILURE.,,,,,,,,,,,,,,,,,,,,,,,,,
219,200904,1F20,,,04/25/2009 00:00:00,F,125.92,A,2,,,,MANUAL SCRAM OF REACTOR DUE TO M1A CONTROL POWER TRANSFORMER FAILURE.,,,,,,,,,,,,,,,,,,,,,,,,,
219,200905,1F20 042,,,04/25/2009 00:00:00,F,61.2,A,4,,,,MANUAL SCRAM OF REACTOR DUE TO M1A CONTROL POWER TRANSFORMER FAILURE.,,,,,,,,,,,,,,,,,,,,,,,,,
219,201012,1F24,,,12/09/2010 00:00:00,F,67.17,A,1,,,,1F24 OUTAGE TO REPLACE DEGRADED M1B TRANSFORMER WITH SPARE. REACTOR REMAINED CRITICAL AT APPROXIMATELY 25% POWER MWth.,,,,,,,,,,,,,,,,,,,,,,,,,
219,201012,1F23,,,12/03/2010 00:00:00,F,34.85,A,1,,,,1F23 TO DISCONNECT M1B MAIN TRANSFORMER DUE TO HIGH CONCENTRATION OF ACETYLENE. INITIAL  POWER WAS 36.8 MWTH. REACTOR REMAINED CRITICAL DURING SHUTDOWN AT APPROXIMATELY 20-25% MWTH.,,,,,,,,,,,,,,,,,,,,,,,,,
219,201012,1F25,,,12/15/2010 00:00:00,F,35.5,A,1,,,,1F25 REMOVED TURBINE GENERATOR FROM SERVICE TO SUPPORT CONNECTING REPLACEMENT M1B TRANSFORMER. INITIAL REACTOR POWER APPROXIMATELY 55%. REACTOR REMAINED CRITICAL DURING 1F25 AT APPROXIMATELY 25% MWTH.,,,,,,,,,,,,,,,,,,,,,,,,,
219,201012,1F26,,,12/20/2010 00:00:00,F,119.12,A,1,,,,SHUTDOWN TO REPAIR REACTOR RECIRCULATION PUMP SEAL.,,,,,,,,,,,,,,,,,,,,,,,,,
219,200409,1,,,09/15/2004 00:00:00,F,179.98,A,1,,,,REPAIR MSIV NS04A,,,,,,,,,,,,,,,,,,,,,,,,,
219,200008,8,,,08/15/2000 00:00:00,F,135.5,A,2,,,,TECH SPEC SHUTDOWN DUE TO LOSS OF SECONDARY CONTAINMENT INTEGRITY- SHUTDOWN TO REPAIR VENTILATION SYSTEM ISOLATION VALVES V-28-21 & V-28-22,,,,,,,,,,,,,,,,,,,,,,,,,
219,199704,3,,,04/23/1997 00:00:00,F,185.7,A,1,,,,PLANT MANUALLY SHUTDOWN PER TECH SPECS DUE TO FAILURE OF CRD SCRAM TIME TEST.,,,,,,,,,,,,,,,,,,,,,,,,,
219,199705,3,,,04/23/1997 00:00:00,F,110.8,A,4,,,,PLANT MANUALLY SHUTDOWN PER TECH SPECS DUE TO FAILURE OF CRD SCRAM TIME TEST.,,,,,,,,,,,,,,,,,,,,,,,,,
219,199803,3,,,03/20/1998 00:00:00,F,284.8,A,2,,,,MANUAL REACTOR SCRAM IN RESPONSE TO STEAM JET AIR-EJECTOR SYSTEM FAILURE AND SUBSEQUENT CONDENSER VACUUM DEGRADATION.,,,,,,,,,,,,,,,,,,,,,,,,,
219,199804,3,,,03/20/1998 00:00:00,F,106,A,4,,,,"ON 03/19, OYSTER CREEK EXPERIENCED A MANUAL REACTOR SCRAM IN RESPONSE TO STEAM JET AIR-EJECTOR SYSTEM FAILURE AND SUBSEQUENT CONDENSER VACCUM DEGRADATION.",,,,,,,,,,,,,,,,,,,,,,,,,
219,199804,4,,,04/05/1998 00:00:00,F,84,A,2,,,,"THE INITIAL STARTUP ATTEMPT FROM THE OUTAGE WAS ABORTED DUE TO B&D EMRV PILOT VALVE LEAKAGE. OPERATORS INITIATED A MANUAL SCRAM AT 10;31 ON APRIL 5 DUE TO LOW DECAY HEAT CONCERNS. AFTER THE PILOT VALVES WERE REPLACED, THE PLANT SUCCESSFULLY WENT ON-LINE",,,,,,,,,,,,,,,,,,,,,,,,,
219,200111,2,,,11/11/2001 00:00:00,F,187.9,A,2,,,,REPAIRED FAILED ELECTRICAL CABLE TO UNIT SUBSTATION 1B2.,,,,,,,,,,,,,,,,,,,,,,,,,
219,200305,1,,,05/20/2003 00:00:00,F,171.6,A,2,,,,"TECH SPEC REQUIRED SHUTDOWN DUE TO FAILURE OF CABLE DISCONNECTED TO ""C"" 4160 VOLT BUS. POWER WAS LOST TO SAFETY RELATED EQUIPMENT. THE VALVE WAS REPLACED WITH A DIFFERENT TYPE.",,,,,,,,,,,,,,,,,,,,,,,,,
219,200308,2,,,08/22/2003 00:00:00,F,59,A,3,,,,TURBINE TRIP/REACTOR SCRAM - CAUSED BY SPURIOUS MOISTURE SEPARATOR HI-HI LEVEL TRIP CAUSED BY A LEVEL SWITCH FAILURE. THE SWITCH WAS REPLACED.,,,,,,,,,,,,,,,,,,,,,,,,,
219,201312,1F33,,12/14/2013 03:36:00,12/14/2013 00:00:00,F,131.4,A,2,,,,Manual Scram due to Reactor High Pressure,,,,,,,,,,,,,,,,,,,,,,,,,
219,201310,1F31,,10/06/2013 11:10:00,10/06/2013 00:00:00,F,46.58,A,2,,,,Loss of Condenser Vacuum,,,,,,,,,,,,,,,,,,,,,,,,,
219,201407,1F35,,07/11/2014 03:14:00,07/11/2014 00:00:00,F,91.65,A,2,,,,"Degraded Condenser Vacuum
IR 1680755",,,,,,,,,,,,,,,,,,,,,,,,,
219,201503,1F36,,03/22/2015 14:14:00,03/22/2015 00:00:00,F,108.12,A,3,,,,Automatic scram due to main turbine controls failure.,,,,,,,,,,,,,,,,,,,,,,,,,
219,201505,1F37,,05/07/2015 17:27:00,05/07/2015 00:00:00,F,168.08,A,3,,,,"Generator Lock Out, Turbine Trip:  IR 2497406",,,,,,,,,,,,,,,,,,,,,,,,,
220,200505,8,,,05/02/2005 00:00:00,S,7.82,A,1,,,,MANUALLY TRIPPED TURBINE DUE TO HIGH TURBINE BEARING VIBRATIONS.,,,,,,,,,,,,,,,,,,,,,,,,,
220,200505,9,,,05/03/2005 00:00:00,S,7.67,A,1,,,,MANUALLY TRIPPED TURBINE DUE TO THE INABILITY TO DISENGAGE THE DENTAL CLUTCH.,,,,,,,,,,,,,,,,,,,,,,,,,
220,200505,10,,,05/08/2005 00:00:00,F,21.61,A,1,,,,UNIT REMOVED FROM SERVICE TO REPAIR GENERATOR STATOR WATER COOLING.,,,,,,,,,,,,,,,,,,,,,,,,,
220,200606,1,,,06/11/2006 00:00:00,F,46.18,A,1,,,,UNIDENTIFIED DRYWELL LEAKAGE.,,,,,,,,,,,,,,,,,,,,,,,,,
220,200705,1F701,,,05/17/2007 00:00:00,F,127.85,A,1,,,,REPAIRS TO TURBINE LUBE OIL SYSTEM PIPING COMPLETED.,,,,,,,,,,,,,,,,,,,,,,,,,
220,200810,1F801,,,10/23/2008 00:00:00,F,76.08,A,2,,,,MANUAL SCRAM DUE TO UNRESPONSIVE EPR.  REPLACED EPR SERVO CONTROL VALVE AND EPR FILTERS.,,,,,,,,,,,,,,,,,,,,,,,,,
220,200910,1F0901,,,10/05/2009 00:00:00,F,66.15,A,2,,,,"PERFORMED REPAIRS TO QUICK TRAK II, 13 FEED WATER LEVEL CONTROLLER.",,,,,,,,,,,,,,,,,,,,,,,,,
220,201105,1F110,,05/02/2011 20:51:00,05/02/2011 00:00:00,F,379.35,A,3,,,,REPAIRED TURBINE BEARING AND SHAFT DRIVEN FEED WATER PUMP GEAR DAMAGE DUE TO IMPROPERLY ASSEMBLED FAULK COUPLING (BETWEEN GENERATOR AND EXCITER) WHICH INDUCED SHAFT VOLTAGE AND CAUSED UNINTENDED ELECTRICAL DISCHARGE ACROSS AREAS OF TIGHT TOLERANCE.,,,,,,,,,,,,,,,,,,,,,,,,,
220,200408,3,,,08/30/2004 00:00:00,F,39.42,A,2,,,,DUE TO OSCILLATIONS ON 13 FEEDWATER FLOW CONTROL VALVE A MANUAL SCRAM WAS INSERTED TO SHUT THE UNIT DOWN. REPAIRS TO 13 FEEDWATER FLOW  CONTROL VALVE ARE IN PROCESS,,,,,,,,,,,,,,,,,,,,,,,,,
220,200409,3,,,08/30/2004 00:00:00,F,53.1,A,4,,,,DUE TO OSCILLATIONS ON 13 FEEDWATER FLOW CONTROL VALVE A MANUAL SCRAM WAS INSERTED TO SHUT THE UNIT DOWN. REPAIRS TO 13 FEEDWATER FLOW CONTROL VALVE HAVE BEEN COMPLETED.,,,,,,,,,,,,,,,,,,,,,,,,,
220,200503,1,,,03/07/2005 00:00:00,F,54.94,A,3,,,,THE REACTOR SCRAMMED DUE TO A TURBINE TRIP IN RESPONSE TO A SPURIOUS HIGH LEVEL SIGNAL ON THE MOISTURE SEPARATOR DRAIN TANK 122 LEVEL SWITCH.  THE CAUSE WAS TWO CORRODED WIRES FORMING A CONDUCTIVE PATH IN A LOCAL JUNCTION BOX.,,,,,,,,,,,,,,,,,,,,,,,,,
220,200010,4A,,,10/02/2000 00:00:00,F,173.6,A,9,,,,MANUAL SCRAM DURING STARTUP FROM MAINTENANCE OUTAGE DUE TO STUCK OPEN ELECTROMATIC RELIEF VALVE. FORCED OUTAGE EXTENSION OF 173.6 HOURS REQUIRED TO COMPLETE REPAIRS.,,,,,,,,,,,,,,,,,,,,,,,,,
220,199907,3,,,07/23/1999 00:00:00,F,200,A,3,,,,THE REACTOR SCRAMMED ON APRM HI HI NEUTRON FLUX WHEN THE MPR MALFUNCTIONED DURING POST MAINTENANCE TESTING.,,,,,,,,,,,,,,,,,,,,,,,,,
220,199911,7,,,10/27/1999 00:00:00,F,336.8,A,4,,,,THE UNIT CONTINUED SHUTDOWN TO REPAIR 11 REACTOR RECIRCULATION PUMP SEAL,,,,,,,,,,,,,,,,,,,,,,,,,
220,199701,1,,,01/17/1997 00:00:00,F,41.8,A,2,,,,UNIT WAS SHUTDOWN DUE TO DRYWELL LEAKAGE.  THE CAUSE WAS A LEAK IN A RECIRCULATION LOOP INSTRUMENT VALVE.,,,,,,,,,,,,,,,,,,,,,,,,,
220,199705,3,,,05/10/1997 00:00:00,F,83.5,A,2,,,,THE UNIT WAS SHUTDOWN TO REBALANCE THE TURBINE GENERATOR.,,,,,,,,,,,,,,,,,,,,,,,,,
220,199705,5,,,05/14/1997 00:00:00,F,100.5,A,2,,,,THE PLANT WAS SHUTDOWN TO MAKE REPAIRS TO REACTOR WATER CLEANUP SYSTEM.,,,,,,,,,,,,,,,,,,,,,,,,,
220,199706,7,,,06/14/1997 00:00:00,F,172,A,2,22097006,,,THE UNIT WAS SHUTDOWN TO REPAIR A DRYWELL INBOARD FLOOR DRAIN ISOLATION VALVE.,,,,,,,,,,,,,,,,,,,,,,,,,
220,199706,8,,,06/21/1997 00:00:00,F,4,A,1,,,,DURING THE REACTOR STARTUP THE UNIT WAS REMOVED FROM SERVICE TO REPAIR A LEAKING MANWAY COVER ON THE 2ND STAGE REHEATER.  THE REACTOR REMAINED CRITICAL.,,,,,,,,,,,,,,,,,,,,,,,,,
220,199707,9,,,07/11/1997 00:00:00,F,62.3,A,2,,,,THE UNIT WAS SHUTDOWN DUE TO UNIDENTIFIED DRYWELL LEAKAGE.  THE CAUSE OF THE DRYWELL LEAKAGE WAS PACKING LEAK AT ROOT VALVE (110-266) IN THE POST ACCIDENT SAMPLING SYSTEM.  REPAIRS WERE MADE TO THE VALVE AND THE UNIT WAS PLACED BACK IN SERVICE.,,,,,,,,,,,,,,,,,,,,,,,,,
220,199708,10,,,08/03/1997 00:00:00,F,0,A,5,,,,POWER REDUCTION TO ISOLATE #115 FEEDWATER HEATER TO REPAIR LEVEL TRANSMITTER 30-48.,,,,,,,,,,,,,,,,,,,,,,,,,
220,199709,11,,,09/15/1997 00:00:00,F,373.7,A,1,,,,THE UNIT WAS SHUTDOWN TO REPAIR TUBE LEAKS IN THE EMERGENCY CONDENSERS.,,,,,,,,,,,,,,,,,,,,,,,,,
220,199710,11,,,09/15/1997 00:00:00,F,745,A,4,,,,THE UNIT WAS SHUTDOWN FOR REPAIRS TO THE EMERGENCY CONDENSERS (TUBE LEAKS). THE DECISION WAS MADE TO REPLACE THE TUBE BUNDLES FOR ALL EMERGENCY CONDENSER VESSELS.,,,,,,,,,,,,,,,,,,,,,,,,,
220,199711,11,,,09/15/1997 00:00:00,F,720,A,4,,,,THE UNIT WAS SHUTDOWN FOR REPAIRS TO THE EMERGENCY CONDENSERS(TUBE LEAKS) THE DECISION WA MADE TO REPLACE THE TUBE BUNDLES FOR ALL 4 EMERGENCY CONDENSER VESSELS.,,,,,,,,,,,,,,,,,,,,,,,,,
220,199712,11,,,09/15/1997 00:00:00,F,221.3,A,4,,,,"THE UNIT WAS SHUTDOWN FOR REPAIRS TO THE EMERGENCY CONDENSERS(TUBE LEAKS). THE TUBE BUNDLES FOR ALL EMERGENCY CONDENSERS WERE REPLACED. THE DURATION OF THE OUTAGE WAS 2,060 HRS (85.8 DAYS).",,,,,,,,,,,,,,,,,,,,,,,,,
220,199804,3,,,04/28/1998 00:00:00,F,56.8,A,1,22098006,,,THE UNIT WAS REMOVED FROM SERVICE DUE TO INOPERABILITY OF CONTROL ROOM EMERGENCY VENTILATION SYSTEM.,,,,,,,,,,,,,,,,,,,,,,,,,
220,199805,3,,,04/28/1998 00:00:00,F,617.9,A,4,22098006,,,THE UNIT WAS REMOVED FROM SERVICE DUE TO INOPERABILITY OF CONTROL ROOM EMERGENCY VENTILATION SYSTEM. NECESSARY MODIFICATIONS WERE MADE PRIOR TO STARTUP.,,,,,,,,,,,,,,,,,,,,,,,,,
220,199908,3,,,07/23/1999 00:00:00,F,122.6,A,4,,,,THE REACTOR SCRAMMED ON APRM HI HI NEUTRON FLUX WHEN THE MPR MALFUNCTIONED DURING POST MAINTENANCE TESTING.,,,,,,,,,,,,,,,,,,,,,,,,,
220,199910,7,,,10/27/1999 00:00:00,F,98.7,A,1,,,,THE UNIT MANUALLY SHUTDOWN TO REPAIR 11 REACTOR RECIRCULATION PUMP SEAL,,,,,,,,,,,,,,,,,,,,,,,,,
220,200002,2,,,02/25/2000 00:00:00,F,107.5,A,2,,,,REACTOR RECIRCULATION PUMP #15 TRIP ON 02/22/00 FORCED SHUTDOWN FOR PUMP REPAIRS. PLANT STILL SHUTDOWN AT THE END OF MONTH.,,,,,,,,,,,,,,,,,,,,,,,,,
220,200003,2,,,02/25/2000 00:00:00,F,5.8,A,4,,,,REACTOR RECIRCULATION PUMP REPAIRS WERE COMPLETED.,,,,,,,,,,,,,,,,,,,,,,,,,
220,200108,4,,,08/22/2001 00:00:00,F,148.5,A,3,,,,THE TURBINE TRIP AND REACTOR SCRAM WAS DUE TO FAILURE OF THE NEGATIVE PHASE SEQUENCE CURRENT RELAY (46) GENERATION PROTECTION LOGIC IN RESPONSE TO A GRID PERTURBATION. THE FAILED RELAY WAS REPLACED.,,,,,,,,,,,,,,,,,,,,,,,,,
220,200205,1,,,05/15/2002 00:00:00,S,81.9,A,2,,,,THE UNIT WAS SHUTDOWN DUE TO DRYWELL LEAKAGE. REPAIRS WERE MADE TO CLOSED LOOP COOLING PIPING.,,,,,,,,,,,,,,,,,,,,,,,,,
220,200205,2,,,05/23/2002 00:00:00,F,21.1,A,1,,,,THE GENERATOR WAS REMOVED FROM SERVICE TO REPAIR THE MOTOR OPERATED DISCONNECT SWITCH #18. THE REACTOR REMAINED CRITICAL.,,,,,,,,,,,,,,,,,,,,,,,,,
220,200212,3,,,12/05/2002 00:00:00,F,462.9,A,2,,,,THE UNIT WAS SHUTDOWN DUE TO DRYWELL LEAKAGE. REPAIRS WERE MADE TO REACTOR BUILDING CLOSED LOOP COOLING PIPING.,,,,,,,,,,,,,,,,,,,,,,,,,
220,200305,5,,,04/26/2003 00:00:00,F,60.3,A,4,,,,SHUTDOWN CONTINUATION TO REPAIR #13 FEEDWATER PUMP CLUTCH.,,,,,,,,,,,,,,,,,,,,,,,,,
220,200302,1,,,02/13/2003 00:00:00,S,158.2,A,1,,,,THE UNIT WAS SHUTDOWN TO REPAIR LEAKING EMERGENCY CONDENSER ISOLATION VALVES.,,,,,,,,,,,,,,,,,,,,,,,,,
220,200304,5,,,04/26/2003 00:00:00,F,99.9,A,2,,,,THE UNIT WAS SHUTDOWN TO REPAIR #13 FEEDWATER PUMP CLUTCH.,,,,,,,,,,,,,,,,,,,,,,,,,
220,201202,1F1201,,02/19/2012 00:35:00,02/19/2012 00:00:00,F,136.17,A,1,,,,Shutdown due to elevated drywell floor drain leakage.  Source identified as the Shutdown Cooling Isolation valve IV-38-01.,,,,,,,,,,,,,,,,,,,,,,,,,
220,201202,1F1201A,,02/24/2012 18:18:00,02/24/2012 00:00:00,F,7.4,A,1,,,,Turbine trip during startup from Forced Outage.,,,,,,,,,,,,,,,,,,,,,,,,,
220,201207,1F1202,,07/17/2012 11:18:00,07/17/2012 00:00:00,F,85.03,A,3,,,,Electronic Pressure Control failure.,,,,,,,,,,,,,,,,,,,,,,,,,
220,201209,1F1203,,09/20/2012 09:23:00,09/20/2012 00:00:00,F,123.12,A,3,,,,Forced outage due to turbine trip.  Automatic Voltage Regulator repairs performed.,,,,,,,,,,,,,,,,,,,,,,,,,
220,201211,1F1205,,11/03/2012 08:23:00,11/03/2012 00:00:00,F,131.04,A,3,,,,Turbine Trip Due to High Reactor Water Level,,,,,,,,,,,,,,,,,,,,,,,,,
220,201212,1F1206,,12/13/2012 19:10:00,12/13/2012 00:00:00,F,151.33,A,1,,,,Forced shutdown due to containment leak.,,,,,,,,,,,,,,,,,,,,,,,,,
220,201509,N1F1502,,09/04/2015 09:16:00,09/04/2015 00:00:00,F,80.65,A,3,,,,Unit 1 Automatic Scram due to MSIV 01-03 failure to reopen.  Reference IR 02551180.,,,,,,,,,,,,,,,,,,,,,,,,,
237,200508,D2F46,,,08/30/2005 00:00:00,F,35.8,A,1,,,,"UNIT TAKEN OFFLINE TO INVESTIGATE AND REPAIR A PROBLEM IN THE UNIT'S MAIN POWER TRANSFORMER. ACCORDING TO DATA OBTAINED FROM THE TRANSFORMER'S INTRUMENTATION, GASSES ARE FORMING INSIDE THE TRANSFORMER.",,,,,,,,,,,,,,,,,,,,,,,,,
237,200509,D2F46,,,08/30/2005 00:00:00,F,331.6,A,4,,,,"UNIT TAKEN OFFLINE TO INVESTIGATE AND REPAIR A PROBLEM IN THE UNIT'S MAIN POWER TRANSFORMER. ACCORDING TO DATA OBTAINED FROM THE TRANSFORMER'S INTRUMENTATION, GASSES ARE FORMING INSIDE THE TRANSFORMER.",,,,,,,,,,,,,,,,,,,,,,,,,
237,200607,D2F47,,,07/04/2006 00:00:00,F,49.42,A,3,,,,AUTO SCRAM WHEN 1A MAIN STEAM ISOLATION VALVE (MSIV) FAILED CLOSED. VALVE FAILURE IS ATTRIBUTED TO THE FAILURE OF AN ASSOCIATED PNEUMATIC SUPPLY LINE.,,,,,,,,,,,,,,,,,,,,,,,,,
237,200611,D2M12,,,11/16/2006 00:00:00,F,224.23,A,1,,,,PERFORMED ACTIVITIES PREVIOUSLY SCHEDULED FOR D2M12 AND PLUGGED UNIT 2 CONDENSER LEAKING TUBES DAMAGED BY EXTRACTION PIPE BELLOWS SHIELD.,,,,,,,,,,,,,,,,,,,,,,,,,
237,200809,D2F49,,,09/25/2008 00:00:00,F,143.23,A,1,,,,REPAIRED 2D3 FEEDWATER HEATER FAILED EXTRACTION STEAM BELLOWS LOCATED IN THE MAIN CONDENSER.,,,,,,,,,,,,,,,,,,,,,,,,,
237,200810,D2F49,,,09/25/2008 00:00:00,F,0.3,A,4,,,,REPAIRED 2D3 FEEDWATER HEATER FAILED EXTRACTION STEAM BELLOWS LOCATED IN THE MAIN CONDENSER.,,,,,,,,,,,,,,,,,,,,,,,,,
237,200408,3,,,08/14/2004 00:00:00,F,183,A,1,,,,UNIT WAS MANUALLY SHUTDOWN TO REPAIR A CRACK IN A WELD OF THE MAIN GENERATOR SUPPORT RAIL.,,,,,,,,,,,,,,,,,,,,,,,,,
237,200409,4,,,09/18/2004 00:00:00,S,170,A,1,,,,UNIT WAS MANUALLY SHUTDOWN TO SHIM THE FOOTING AND BALANCE THE MAIN GENERATOR ROTOR IN ORDER TO CORRECT HIGH BEARING VIBRATION.,,,,,,,,,,,,,,,,,,,,,,,,,
237,200410,5,,,10/02/2004 00:00:00,F,12,A,1,,,,UNIT TAKEN OFFLINE TO BALANCE THE MAIN GENERATOR ROTOR TO REDUCE HIGH BEARING VIBRATION.  THE REACTOR REMAINED AT POWER.,,,,,,,,,,,,,,,,,,,,,,,,,
237,200503,D2F45,,,03/24/2005 00:00:00,F,87,A,3,,,,SUSPECT COMPONENTS IN THE EHC SYSTEM WERE REPLACED AND CALIBRATED.,,,,,,,,,,,,,,,,,,,,,,,,,
237,199808,5,,,08/08/1998 00:00:00,F,25,A,3,,,,EQUIPMENT FAILURE.,,,,,,,,,,,,,,,,,,,,,,,,,
237,199806,4,,,06/20/1998 00:00:00,F,57,A,3,,,,MINOR MAINTENANCE AND SURVEILLANCE TESTING. REACTOR SHUTDOWN AUTOMATICALLY DUE TO LOW ELECTROHYDRAULIC CONTROL (EHC) PRESSURE WHILE PARALLELING EHC PUMPS.,,,,,,,,,,,,,,,,,,,,,,,,,
237,199704,3,,,04/11/1997 00:00:00,F,471,A,1,23797008,EA,BKR,THE AUXILIARY CONTACT ASSEMBLY WAS FOUND DAMAGED FOR THE BUS 23 TO 23-1 FEED BREAKER. ALL MERLIN GERIN ELECTRICAL BREAKERS were DECLARED INOPERABLE AND PREPARATIONS BEGAN FOR A UNIT SHUTDOWN.,,,,,,,,,,,,,,,,,,,,,,,,,
237,199705,3,,,04/11/1997 00:00:00,F,225,A,4,23797008,EA,BKR,FORCED OUTAGE TO REPAIR THE AUXILIARY CONTACT ASSEMBLY IN MERLIN GERIN ELECTRICAL BREAKERS.,,,,,,,,,,,,,,,,,,,,,,,,,
237,199705,4,,,05/11/1997 00:00:00,F,131,A,1,,,,SHUTDOWN TO REPAIR 2D MSIV PACKING LEAK.,,,,,,,,,,,,,,,,,,,,,,,,,
237,199712,7,,,12/23/1997 00:00:00,F,97,A,3,23797019,,,A SPURIOUS HALF SCRAM WAS RECEIVED FROM THE APRMS WHILE CONDUCTING INSTRUMENT SURVEILLANCE WITH AN EXISTING HALF SCRAM.,,,,,,,,,,,,,,,,,,,,,,,,,
237,200109,D2F37,,,09/01/2001 00:00:00,F,207,A,1,,,,"THE UNIT'S MAIN POWER TRANSFORMER INTERNAL GAS GENERATION RATE INCREASED, INDICATING INTERNAL DAMAGE. THE  UNIT WAS TAKEN OFF-LINE AND INTERNAL REPAIRS WERE PERFORMED ON THE TRANSFORMER.",,,,,,,,,,,,,,,,,,,,,,,,,
237,200404,2,,,04/28/2004 00:00:00,F,56,A,2,,,,"DURING POWER ASCENSION FROM THE PREVIOUS OUTAGE, THE REACTOR WAS MANUALLY TRIPPED DUE TO A TRIP OF THE 2A REACTOR RECIRCULATION PUMP.",,,,,,,,,,,,,,,,,,,,,,,,,
237,200405,2,,,04/28/2004 00:00:00,F,236,A,4,,,,"DURING POWER ASCENSION FROM THE PREVIOUS OUTAGE, THE REACTOR WAS MANUALLY TRIPPED DUE TO A TRIP OF THE 2A REACTOR RECIRCULATION PUMP.",,,,,,,,,,,,,,,,,,,,,,,,,
